product_id;brand;memory;tablet_price;tablet_promo_price;link;model;model_spec
3300316;Samsung;128 GB;1.049, €;939, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300316&productName=Samsung Galaxy TAB S9 5G 128GB Graphite#/category=Tablets/pageNo=1;Galaxy TAB;S9 5G
3300317;Samsung;256 GB;1.269, €;1.139, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300317&productName=Samsung Galaxy TAB S9+ 5G 256GB Graphite#/category=Tablets/pageNo=1;Galaxy TAB;S9+ 5G
3300318;Samsung;256 GB;1.489, €;1.339, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300318&productName=Samsung Galaxy TAB S9 Ultra 5G 256GB Graphite#/category=Tablets/pageNo=1;Galaxy TAB;S9 Ultra 5G
2119979;Samsung;64 GB;439, €;349, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119979&productName=Samsung Galaxy TAB S6 Lite LTE#/category=Tablets/pageNo=1;Galaxy TAB;S6 Lite LTE
2116135;Apple;64 GB;369, €;359, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116135&productName=Apple iPad 2021 WI-FI#/category=Tablets/pageNo=1;iPad 2021;WI-FI
2121279;Samsung;64 GB;309, €;249, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121279&productName=Samsung Galaxy TAB A8  + booklet cover#/category=Tablets/pageNo=1;Galaxy TAB;A8 LTE + booklet cover
2130587;Apple;64 GB;789, €;709, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130587&productName=Apple iPad 2022 5G#/category=Tablets/pageNo=1;iPad 2022;5G
2120903;Samsung;128 GB;1.199, €;1.149, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2120903&productName=Samsung Galaxy TAB S8 Ultra 5G#/category=Tablets/pageNo=1;Galaxy TAB;S8 Ultra 5G
2116136;Apple;64 GB;549, €;529, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116136&productName=Apple iPad 2021 4G#/category=Tablets/pageNo=1;iPad 2021;4G
2119580;Emporia;32 GB;299, €;249, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119580&productName=Emporia Tablet 4G/LTE 32GB - Zwart#/category=Tablets/pageNo=1;Tablet;4G/LTE
2130001;Emporia;128 MB;299, €;249, €;https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130001&productName=Emporia Tablet 32GB BLACK 4G/LTE + Simplicity Glam bundel#/category=Tablets/pageNo=1;Tablet;4G/LTE + Simplicity Glam bundel
