,product_id,model,color,memory,price_regular,price_for_clients,link
0,3300316, Samsung Galaxy TAB S9 5G 128GB Graphite ,Zwart,128 GB," € 1049,00 ",939,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300316&productName=Samsung%20Galaxy%20TAB%20S9%205G%20128GB%20Graphite#/category=Tablets/pageNo=1
1,3300317, Samsung Galaxy TAB S9+ 5G 256GB Graphite ,Zwart,256 GB," € 1269,00 ",1139,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300317&productName=Samsung%20Galaxy%20TAB%20S9+%205G%20256GB%20Graphite#/category=Tablets/pageNo=1
2,3300318, Samsung Galaxy TAB S9 Ultra 5G 256GB Graphite ,Zwart,256 GB," € 1489,00 ",1339,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300318&productName=Samsung%20Galaxy%20TAB%20S9%20Ultra%205G%20256GB%20Graphite#/category=Tablets/pageNo=1
3,2119979, Samsung Galaxy TAB S6 Lite LTE ,Zwart,64 GB," € 439,00 ",349,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119979&productName=Samsung%20Galaxy%20TAB%20S6%20Lite%20LTE#/category=Tablets/pageNo=1
4,2116135, Apple iPad 2021 WI-FI 64GB Space Grey ,Grijs,64 GB," € 369,00 ",359,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116135&productName=Apple%20iPad%202021%20WI-FI#/category=Tablets/pageNo=1
5,2121279, Samsung Galaxy TAB A8 LTE + booklet cover ,Grijs,64 GB," € 309,00 ",249,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121279&productName=Samsung%20Galaxy%20TAB%20A8%20%20+%20booklet%20cover#/category=Tablets/pageNo=1
6,2130587, Apple iPad 2022 5G 64GB Blue ,Blauw,64 GB," € 789,00 ",709,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130587&productName=Apple%20iPad%202022%205G#/category=Tablets/pageNo=1
7,2130681, Apple iPad 2022 5G 64GB Silver ,Zilver,64 GB," € 789,00 ",709,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130681&productName=Apple%20iPad%202022%205G#/category=Tablets/pageNo=1
8,2120903, Samsung Galaxy TAB S8 Ultra 5G 128GB Grijs ,Grijs,128 GB," € 1199,00 ",1149,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2120903&productName=Samsung%20Galaxy%20TAB%20S8%20Ultra%205G#/category=Tablets/pageNo=1
9,2116136, Apple iPad 2021 4G 64GB Space Grey ,Grijs,64 GB," € 549,00 ",529,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116136&productName=Apple%20iPad%202021%204G#/category=Tablets/pageNo=1
10,2119580, Emporia Tablet 4G/LTE 32GB - Zwart ,Zwart,32 GB," € 299,00 ",249,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119580&productName=Emporia%20Tablet%204G/LTE%2032GB%20-%20Zwart#/category=Tablets/pageNo=1
